Rank,Movie,Sentiment,Word,Count,Total1,Total2,Prop1,Prop2
1,Revenant,Positive,actor,642,12029,2994,0.05337102,0.2144288577
2,Revenant,Positive,wins,573,12029,2994,0.0476348824,0.1913827655
3,Revenant,Positive,male,458,12029,2994,0.0380746529,0.1529726119
4,Revenant,Positive,leading,446,12029,2994,0.0370770638,0.1489645959
5,Revenant,Positive,best,418,12029,2994,0.0347493557,0.1396125585
6,Revenant,Positive,congrats,293,12029,2994,0.024357802,0.0978623914
7,Revenant,Positive,win,248,12029,2994,0.0206168426,0.0828323313
8,Revenant,Positive,great,185,12029,2994,0.0153794995,0.0617902472
9,Revenant,Positive,saw,161,12029,2994,0.0133843212,0.0537742151
10,Revenant,Positive,good,138,12029,2994,0.0114722753,0.0460921844
11,Revenant,Positive,leo,135,12029,2994,0.011222878,0.0450901804
12,Revenant,Positive,see,131,12029,2994,0.0108903483,0.043754175
13,Revenant,Positive,award,129,12029,2994,0.0107240835,0.0430861723
14,Revenant,Positive,oscar,113,12029,2994,0.0093939646,0.037742151
15,Revenant,Positive,good,111,12029,2994,0.0092276997,0.0370741483
16,Revenant,Positive,watched,95,12029,2994,0.0078975808,0.0317301269
17,Revenant,Positive,one,90,12029,2994,0.0074819187,0.0300601202
18,Revenant,Positive,really,89,12029,2994,0.0073987863,0.0297261189
19,Revenant,Positive,film,87,12029,2994,0.0072325214,0.0290581162
20,Revenant,Positive,amazing,86,12029,2994,0.007149389,0.0287241149
1,Revenant,Negative,difficult,51,12029,417,0.0050710782,0.1462829736
2,Revenant,Negative,films,50,12029,417,0.0042397539,0.1223021583
3,Revenant,Negative,put,48,12029,417,0.0041566215,0.1199040767
4,Revenant,Negative,leo,29,12029,417,0.0039903566,0.1151079137
5,Revenant,Negative,saw,26,12029,417,0.0024108405,0.0695443645
6,Revenant,Negative,long,22,12029,417,0.0021614432,0.0623501199
7,Revenant,Negative,oscar,17,12029,417,0.0018289135,0.0527577938
8,Revenant,Negative,mad,15,12029,417,0.0014132513,0.0407673861
9,Revenant,Negative,never,14,12029,417,0.0012469864,0.035971223
10,Revenant,Negative,crazy,14,12029,417,0.001163854,0.0335731415
